alert_date,alert__year,alert__week,confidence__cat,alert__count,month,year_month
2024-03-18,2024,12,h,10,3,2024-03
2024-03-25,2024,13,h,20,3,2024-03
2024-04-01,2024,14,h,21,4,2024-04
2024-04-08,2024,15,h,9,4,2024-04
2024-04-15,2024,16,h,1,4,2024-04
2024-04-22,2024,17,h,8,4,2024-04
2024-04-29,2024,18,h,1,4,2024-04
2024-05-06,2024,19,h,21,5,2024-05
2024-05-13,2024,20,h,3,5,2024-05
2024-05-20,2024,21,h,2,5,2024-05
2024-05-27,2024,22,h,1,5,2024-05
2024-06-03,2024,23,h,3,6,2024-06
2024-06-10,2024,24,h,5,6,2024-06
2024-06-24,2024,26,h,4,6,2024-06
2024-08-05,2024,32,h,2,8,2024-08
2024-08-12,2024,33,h,11,8,2024-08
2024-08-19,2024,34,h,4,8,2024-08
2024-08-26,2024,35,h,3,8,2024-08
2024-09-02,2024,36,h,11,9,2024-09
2024-09-09,2024,37,h,5,9,2024-09
2024-09-16,2024,38,h,1,9,2024-09
2024-10-21,2024,43,h,4,10,2024-10
2024-10-28,2024,44,h,3,10,2024-10
